24884	12879	0.25
26079	14218	0.25
1360	19631	0.25
21280	18261	0.25
14196	13505	0.25
5559	13517	0.25
4375	22562	0.25
26064	12789	0.25
26857	8819	0.25
2114	10040	0.25
16916	7863	0.25
2817	3569	0.25
22590	12695	0.25
15776	25728	0.25
15128	1409	0.25
21757	5819	0.25
27621	5761	0.25
10263	3105	0.25
26314	22647	0.25
27624	16883	0.25
23948	583	0.25
14002	13450	0.25
14698	20851	0.25
10124	3941	0.25
27629	383	0.25
11275	16862	0.25
18726	20943	0.25
6158	16116	0.25
5701	19433	0.25
17597	23937	0.25
3330	572	0.25
13098	20627	0.25
20360	9189	0.25
249	4930	0.25
20677	27050	0.25
13024	4914	0.25
27641	26373	0.25
27642	4929	0.25
27643	17175	0.25
27644	19777	0.25
13384	26711	0.25
15576	3111	0.25
23293	3219	0.25
27648	4202	0.25
17142	18957	0.25
27650	8547	0.25
13462	8501	0.25
27652	17085	0.25
19346	12152	0.25
27654	2931	0.25
20704	2506	0.25
27656	2376	0.25
10962	9010	0.25
27658	26756	0.25
198	15520	0.25
27660	1610	0.25
16288	18182	0.25
27662	21452	0.25
19241	163	0.25
27664	7925	0.25
23629	20764	0.25
19201	17042	0.25
8045	14879	0.25
18613	2317	0.25
27017	9574	0.25
13608	19515	0.25
10175	27304	0.25
22027	2279	0.25
26638	20460	0.25
27674	828	0.25
6475	26868	0.25
8776	15909	0.25
27677	3218	0.25
348	10371	0.25
27679	7305	0.25
16499	9353	0.25
27681	3213	0.25
27682	23680	0.25
27683	15820	0.25
27684	14310	0.25
27685	21495	0.25
27686	1045	0.25
27687	16542	0.25
27688	16448	0.25
27689	9295	0.25
27690	18612	0.25
27691	9082	0.25
27692	26560	0.25
27693	8220	0.25
13495	4222	0.25
27695	2123	0.25
27696	19222	0.25
27697	12519	0.25
27698	22378	0.25
26722	10834	0.25
27700	24354	0.25
27701	22204	0.25
27702	12552	0.25
27703	7497	0.25
21367	925	0.25
11617	21822	0.25
14538	3869	0.25
24689	4181	0.25
11040	17651	0.25
19235	17621	0.25
17319	6712	0.25
9389	22722	0.25
17081	11945	0.25
23730	137	0.25
22616	10668	0.25
6756	7790	0.25
11498	17506	0.25
2882	9246	0.25
19041	26203	0.25
17490	18513	0.25
7697	9215	0.25
11586	15698	0.25
9794	24304	0.25
27723	3519	0.25
10664	14918	0.25
22233	12607	0.25
8209	1579	0.25
19952	5012	0.25
14427	915	0.25
16444	2407	0.25
9069	13056	0.25
24015	11518	0.25
16570	2649	0.25
1734	8908	0.25
14302	3069	0.25
8417	18999	0.25
26297	19039	0.25
6847	20102	0.25
27738	12913	0.25
27739	5875	0.25
27740	2641	0.25
17117	896	0.25
5038	26812	0.25
2695	23141	0.25
19602	1303	0.25
26761	8020	0.25
26554	503	0.25
6157	5551	0.25
11563	11663	0.25
23083	23333	0.25
18486	9855	0.25
27751	20608	0.25
27752	10672	0.25
3086	20448	0.25
10348	21451	0.25
12432	14387	0.25
11757	22218	0.25
10463	8502	0.25
20188	13005	0.25
17810	26014	0.25
27760	5632	0.25
1840	11778	0.25
18469	14714	0.25
5666	12728	0.25
5130	25165	0.25
9118	7138	0.25
27766	10601	0.25
1257	22543	0.25
2207	22971	0.25
22418	21411	0.25
16309	7815	0.25
3987	935	0.25
19003	11842	0.25
15835	26545	0.25
7275	20047	0.25
8199	15310	0.25
20335	14652	0.25
12358	26026	0.25
18277	11820	0.25
8078	6774	0.25
9137	21218	0.25
16227	525	0.25
27782	9414	0.25
4151	15849	0.25
15264	23603	0.25
9133	9839	0.25
13411	20620	0.25
17482	13468	0.25
22674	573	0.25
5552	20752	0.25
8405	3255	0.25
27054	12703	0.25
7026	14122	0.25
26596	5786	0.25
4316	8589	0.25
13081	26435	0.25
3703	9853	0.25
16245	4698	0.25
11980	25342	0.25
21770	7499	0.25
13137	27476	0.25
19353	12179	0.25
10552	21462	0.25
5225	10605	0.25
12486	6210	0.25
7089	17449	0.25
14193	24688	0.25
17722	3196	0.25
2793	6113	0.25
6378	9648	0.25
6570	23156	0.25
18979	26155	0.25
27812	6913	0.25
17867	24939	0.25
5260	9361	0.25
18162	7476	0.25
23345	13559	0.25
15671	16024	0.25
2446	23151	0.25
21073	20090	0.25
2935	9608	0.25
27472	15130	0.25
27822	23249	0.25
20246	5493	0.25
19693	9642	0.25
16153	18075	0.25
9163	11181	0.25
9227	17132	0.25
19410	12976	0.25
7569	850	0.25
16706	23912	0.25
21580	1121	0.25
3579	6278	0.25
27833	20860	0.25
268	16766	0.25
7439	13050	0.25
2419	21137	0.25
11137	21325	0.25
27326	19139	0.25
15587	17106	0.25
22746	9995	0.25
25401	12054	0.25
24036	9694	0.25
13531	221	0.25
2773	17018	0.25
21449	7170	0.25
22424	887	0.25
16239	16139	0.25
5355	12430	0.25
27849	7858	0.25
27048	5397	0.25
13562	8256	0.25
10159	23405	0.25
24583	21947	0.25
21034	10158	0.25
27855	18650	0.25
27856	25388	0.25
27857	19219	0.25
27199	16200	0.25
27859	12720	0.25
27860	9939	0.25
27858	25607	0.25
8641	12738	0.25
